model,split,threshold,e2e_accuracy,conditional_accuracy,loc_success_0_5,loc_success_0_7,no_match_precision,no_match_recall,no_match_f1,id_precision,id_recall,id_f1,duplicates,unassigned_visible,total_refs,conditional_refs
B0_IoU,heldout,0.05,0.49599662873999156,0.7432244614315496,1.0,0.9354838709677419,0.7465277777777778,0.7465277777777778,0.7465277777777777,0.8562850280224179,0.7432244614315496,0.7957589285714286,0,1169,4746,2878
B1_RegionCos,heldout,0.1,0.3558786346396966,0.5437804030576789,1.0,0.9258785942492013,0.4305555555555556,0.4305555555555556,0.4305555555555556,0.5372468245794714,0.5437804030576789,0.5404938697979624,0,665,4746,2878
B2_PBDCos,heldout,0.05,0.4148756847871892,0.6139680333564975,0.9994340690435767,0.9394453876627051,0.7013888888888888,0.7013888888888888,0.7013888888888888,0.7280593325092707,0.6139680333564975,0.6661639962299717,0,1246,4746,2878
B2_ablation_PBDBoxEnd,heldout,0.15,0.4336283185840708,0.6431549687282835,0.9989195029713668,0.940032414910859,0.71875,0.71875,0.71875,0.7645600991325898,0.6431549687282835,0.6986223815814304,0,1240,4746,2878
B3_PairwiseMLP,heldout,-,0.41276864728192164,0.618137595552467,0.9994378864530635,0.9314221472737493,0.6293706293706294,0.625,0.627177700348432,0.6487964989059081,0.618137595552467,0.6330960854092528,0,735,4746,2878
B4_TrackDecoder,heldout,-,0.42456805731142017,0.6268241834607367,0.9994456762749445,0.9329268292682927,0.7377622377622378,0.7326388888888888,0.735191637630662,0.6726323639075317,0.6268241834607367,0.6489208633093526,0,979,4746,2878
