model,e2e_accuracy,conditional_accuracy,no_match_f1,id_f1
B0_IoU,0.49599662873999156,0.7432244614315496,0.7465277777777777,0.7957589285714286
B1_RegionCos,0.3558786346396966,0.5437804030576789,0.4305555555555556,0.5404938697979624
B2_PBDCos,0.4148756847871892,0.6139680333564975,0.7013888888888888,0.6661639962299717
B2_ablation_PBDBoxEnd,0.4336283185840708,0.6431549687282835,0.71875,0.6986223815814304
B3_PairwiseMLP,0.41276864728192164,0.618137595552467,0.627177700348432,0.6330960854092528
B4_TrackDecoder,0.42456805731142017,0.6268241834607367,0.735191637630662,0.6489208633093526
