model,e2e_accuracy,conditional_accuracy,loc_success_0_5,loc_success_0_7,no_match_precision,no_match_recall,no_match_f1,id_precision,id_recall,id_f1
B0_IoU,0.496,0.7432,1.0,0.9355,0.7465,0.7465,0.7465,0.8563,0.7432,0.7958
B1_RegionCos,0.3559,0.5438,1.0,0.9259,0.4306,0.4306,0.4306,0.5372,0.5438,0.5405
B2_PBDCos,0.4149,0.614,0.9994,0.9394,0.7014,0.7014,0.7014,0.7281,0.614,0.6662
B2_PBDBoxEnd,0.4336,0.6432,0.9989,0.94,0.7188,0.7188,0.7188,0.7646,0.6432,0.6986
B3_PairwiseMLP,0.4128,0.6181,0.9994,0.9314,0.6294,0.625,0.6272,0.6488,0.6181,0.6331
B4_TrackDecoder,0.4246,0.6268,0.9994,0.9329,0.7378,0.7326,0.7352,0.6726,0.6268,0.6489
